ds,yhat,yhat_lower,yhat_upper
2014-01-01,77.85374485333023,-0.5767880803354857,163.59535618340988
2014-01-02,57.252328788055266,-31.46787752958398,140.0134105979984
2014-01-03,64.21784191164323,-21.818538334814747,146.123711114345
2014-01-04,112.15462067569322,36.267766062513594,197.59675687637124
2014-01-05,65.96315964942427,-17.553826779302792,154.61536737190897
2014-01-06,33.91189003257984,-53.72493634453348,115.10285490909038
2014-01-07,27.712515898447652,-55.96674372293037,114.76536297062502
2014-01-08,48.25419860152299,-34.76219887521728,136.45105032921597
2014-01-09,41.41228045697982,-46.82909610950564,122.49384874925575
2014-01-10,62.79372276896561,-24.95935631684697,151.82150543585766
2014-01-11,120.37483521047982,41.71617321121223,208.00587227981566
2014-01-12,79.50442125722694,-2.8996781335313124,165.35226040625443
2014-01-13,53.313924833893296,-33.95559918349441,136.8884465166227
2014-01-14,54.14432832817259,-32.23311107909706,140.43168859326005
2014-01-15,82.10506116373409,3.6164401383275586,174.04950644449903
2014-01-16,69.64191080391576,-12.111184911878935,158.5660648238961
2014-01-17,87.28268538468545,6.552506450945974,168.58541697650094
2014-01-18,142.33268923369394,62.86860037363572,224.5755538791477
2014-01-19,103.72718354995814,21.518246635588845,182.205802351239
2014-01-20,80.61559356512491,-3.811467668269911,165.92196987675757
2014-01-21,83.45312203161116,-2.951475824210377,170.8969885886961
2014-01-22,113.22549921398408,30.180039679493653,193.137306768564
2014-01-23,102.32803423828693,16.582248914910693,189.41563731538326
2014-01-24,118.2061197790625,31.01314955944774,199.8815222546101
2014-01-25,172.64401667947627,83.90582393940682,253.97962167191326
2014-01-26,132.09548433477602,45.96119340294427,216.3216183873684
2014-01-27,105.5118329256363,21.069479738538433,194.26601929268708
2014-01-28,104.22106472019581,23.257414216062354,185.5746900719047
2014-01-29,128.08700461372274,44.628033873584464,212.12444475468638
2014-01-30,109.57921517753647,22.106974572352353,191.01213321827265
2014-01-31,117.96740948896118,44.539204265422164,201.87534892770543
2014-02-01,164.03306840632595,83.87493011109386,248.08910897512544
2014-02-02,116.61177248241435,34.077504938689835,200.44249409983206
2014-02-03,84.1335066425669,7.610502138327471,168.10009696054865
2014-02-04,76.10979809603745,-3.2340204470604763,162.33831907465546
2014-02-05,95.34020908148698,12.790295706039611,170.9458358444104
2014-02-06,76.59329961564146,-5.105245927255247,163.41142593692678
2014-02-07,81.88950710982235,-0.2804750914512565,158.33703107508376
2014-02-08,127.33112002129496,39.774497296414665,212.11297151602292
2014-02-09,77.6580322771774,-8.973356848165254,171.35031533060615
2014-02-10,42.63718187713597,-46.1967163862481,123.78562220962226
2014-02-11,33.06096018156683,-45.3500555954654,116.39164879308423
2014-02-12,124.81126973873816,37.773707677975835,209.6295496050119
2014-02-13,104.80599457876721,22.047045948619868,185.70250658455348
2014-02-14,108.23710254402198,26.53975824711733,196.22448640334832
2014-02-15,152.784971607289,70.02898723046836,235.97103520122556
2014-02-16,103.46482233394568,17.911588086486088,185.45050256641193
2014-02-17,69.10575944647803,-6.9086297690730225,151.56512494493415
2014-02-18,61.25739667633121,-23.270464840528323,143.14304577867307
2014-02-19,80.80758088953127,-5.3681653388979775,164.3401073722619
2014-02-20,62.07178918211824,-19.554008248455727,140.67948054560088
2014-02-21,70.50447019750854,-15.829562200462904,156.87878536955827
2014-02-22,120.3726646873224,38.53830617943763,204.69942085246984
2014-02-23,76.63787990477005,-6.70364978595771,157.02390631380032
2014-02-24,48.32649853537988,-40.01151279471783,127.86847029557896
2014-02-25,46.41237838669588,-29.112073838993535,130.55108800167798
2014-02-26,70.96409544014688,-14.264927385444944,149.86817781273567
2014-02-27,57.41712493156294,-28.172863771295784,140.29016268536637
2014-02-28,70.73846031844056,-12.840845708254937,157.45433616651212
2014-03-01,125.38263323226741,39.02940231452643,206.2802512829499
2014-03-02,86.2348152154666,2.562802379218678,168.7245556571117
2014-03-03,61.72639452564634,-23.86211211065009,148.73140824275782
2014-03-04,63.77142214532257,-16.54321029079606,147.70991988987336
2014-03-05,90.89595960386468,0.009455854858467167,171.21909192479237
2014-03-06,79.656383073478,-1.3965259779837376,158.89979700637906
2014-03-07,95.04212402450295,10.685199806990306,184.5992419404025
2014-03-08,150.53192096649013,66.5377681360646,240.02093673253748
2014-03-09,111.68804048360303,31.93490558261549,202.7170291581272
2014-03-10,86.79183550597523,4.234970071609631,173.899805103794
2014-03-11,87.49242498940626,10.558866027837928,176.71245378111067
2014-03-12,111.53264481884672,28.921807315717547,199.1304771810425
2014-03-13,87.19751296141527,-0.29475449625469347,170.34521809526413
2014-03-14,99.59548079684151,14.830527806201413,183.89586936529005
2014-03-15,154.07491674059352,72.0618025132818,247.9823313620719
2014-03-16,109.50083671693693,22.57737416701103,194.95452618111213
2014-03-17,81.55918744958255,-3.9249957031032694,168.3429304391933
2014-03-18,78.86121572825866,-2.979091272532759,169.97836156684698
2014-03-19,101.27764546764934,17.34381213069101,185.38903030794665
2014-03-20,84.31358777330593,-2.100765869852582,169.8727835930436
2014-03-21,93.69853702807887,8.018607739878199,173.35625181806023
2014-03-22,142.71679678432074,57.59663894622384,222.9403169736056
2014-03-23,97.51144406164698,20.011826678461514,186.27889766806172
2014-03-24,66.88475661392926,-17.414409122225834,143.98489598859837
2014-03-25,61.15321445831603,-28.767356137815714,140.28823506251175
2014-03-26,82.12588231697703,-1.5516461957495624,161.99204182977007
2014-03-27,63.701900182604376,-16.63870834178924,148.48609811561874
2014-03-28,71.54243044315322,-18.97151939824256,146.00745418069226
2014-03-29,120.88716740552235,37.7503170729021,202.8346039863642
